Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
gi_recommendation,gi_epa,,dropdown,是否建議進入下階段訓練,"1, 是-可進入下階段 | 2, 尚可-需持續觀察 | 3, 保留-需加強訓練",,,,,,,y,,,,,
uuid_2,gi_epa,,text,UUID,,,,,,,,,,,,, @MC-TASK-UUID @HIDDEN-SURVEY
startdate_2,gi_epa,,text,Start Date,,,,,,,,,,,,, @MC-TASK-STARTDATE @HIDDEN-SURVEY
enddate_2,gi_epa,,text,End Date,,,,,,,,,,,,, @MC-TASK-ENDDATE @HIDDEN-SURVEY
scheduledate_2,gi_epa,,text,Schedule Date,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE @HIDDEN-SURVEY
status_2,gi_epa,,dropdown,Status,"0, Deleted | 1, Completed | 2, Incomplete",,,,,,,,,,,, @MC-TASK-STATUS @HIDDEN-SURVEY
supplementaldata_2,gi_epa,,notes,Supplemental Data (JSON),,,,,,,,,,,,, @MC-TASK-SUPPLEMENTALDATA @HIDDEN-SURVEY
serializedresult_2,gi_epa,,file,Serialized Result,,,,,,,,,,,,, @MC-TASK-SERIALIZEDRESULT @HIDDEN-SURVEY
nephro_eval_date,nephro_epa,基本資料,text,評核日期,,請輸入格式 YYYY-MM-DD,date_ymd,,,,,,,,,,
nephro_assessor_name,nephro_epa,,text,評核教師姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
nephro_assessor_email,nephro_epa,,text,評核教師電子信箱,,用於發送 EPA survey 邀請,email,,,y,,,,,,,@CHARLIMIT=100 @HIDDEN-SURVEY
nephro_assessor_title,nephro_epa,,dropdown,評核教師職稱,"1, 主治醫師 | 2, 總醫師 | 3, 其他",,,,,,,,,,,,@HIDDEN-SURVEY
nephro_evaluated_id,nephro_epa,被評核學員,text,被評核學員學號/員工編號,,請填入受評學員的學號或員工編號,,,,,,,,,,,@CHARLIMIT=20 @HIDDEN-SURVEY
nephro_evaluated_name,nephro_epa,,text,被評核學員姓名,,,,,,,,y,,,,,@CHARLIMIT=50 @READONLY
nephro_evaluated_type,nephro_epa,,dropdown,被評核學員類別,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
nephro_trainee_type,nephro_epa,,dropdown,受評者類型,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
nephro_trainee_name,nephro_epa,,text,受評者姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
nephro_dept,nephro_epa,,text,評核科別,,預設：腎臟內科,,,,,,,,,,,@DEFAULT='腎臟內科' @READONLY @HIDDEN-SURVEY
nephro_section_epa,nephro_epa,EPA評估項目,descriptive,評分標準說明: Level 1 新手 - 僅能觀察他人執行需督導引導; Level 2 進階初學者 - 可在直接監督下執行; Level 3 勝任 - 可獨立執行但需回報; Level 4 精通 - 可獨立執行監督者隨時可得; Level 5 專家 - 可獨立執行並指導他人,,,,,,,,,,,,,
epa_nephro_1,nephro_epa,,dropdown,EPA 1: 腎臟疾病病史詢問與風險評估,"1, Level 1 - 能詢問基本腎臟症狀需督導引導 | 2, Level 2 - 能系統性完成腎臟病史詢問使用評估工具 | 3, Level 3 - 能獨立完成複雜病史詢問整合風險分層 | 4, Level 4 - 能在困難情況獲取準確病史 | 5, Level 5 - 能指導他人識別罕見症狀 | 0, 未評估",核心能力: 尿量變化水腫血尿泡沫尿腰痛/高血壓糖尿病自體免疫藥物史/尿毒症狀體液平衡/腎毒性藥物/多囊腎遺傳性腎病腎結石家族史,,,,,,y,,,,,
epa_nephro_2,nephro_epa,,dropdown,EPA 2: 腎臟泌尿系統身體檢查,"1, Level 1 - 能基本腎臟觸診識別明顯水腫 | 2, Level 2 - 能識別常見異常系統性腎臟檢查 | 3, Level 3 - 能區分異常發現準確評估體液狀態整合發現 | 4, Level 4 - 能識別複雜發現技術精準有效率 | 5, Level 5 - 能偵測細微異常整合臨床表現 | 0, 未評估",核心能力: 腎臟大小壓痛多囊腎觸診/下肢水腫腹水肺水腫/血壓測量/脫水體液過多徵象/肋脊角壓痛膀胱叩診,,,,,,y,,,,,
epa_nephro_3,nephro_epa,,dropdown,EPA 3: 腎臟超音波基礎操作與判讀,"1, Level 1 - 能協助基本超音波了解基本解剖 | 2, Level 2 - 能獨立操作標準檢查基本判讀 | 3, Level 3 - 能完成標準檢查準確識別常見病變 | 4, Level 4 - 能進階超音波技術準確定量評估 | 5, Level 5 - 成為超音波專家教導複雜技術 | 0, 未評估",核心能力: 超音波操作品質確保/腎臟大小皮質厚度輸尿管擴張/腎實質集尿系統血流/囊腫結石水腎實質病變,,,,,,y,,,,,
epa_nephro_4,nephro_epa,,dropdown,EPA 4: 酸鹼及電解質檢驗報告判讀,"1, Level 1 - 能識別明顯異常數值知正常範圍 | 2, Level 2 - 能判讀常見異常使用系統性流程 | 3, Level 3 - 能獨立判讀複雜異常整合臨床表現 | 4, Level 4 - 能判讀複雜混合性異常準確推理病因 | 5, Level 5 - 成為酸鹼電解質判讀專家教導複雜判讀 | 0, 未評估",核心能力: pH HCO3 PaCO2解讀代償機轉/鈉鉀鈣磷鎂異常識別/病因推理/嚴重度評估/矯正策略,,,,,,y,,,,,
epa_nephro_5,nephro_epa,,dropdown,EPA 5: 急性腎損傷診斷與處置,"1, Level 1 - 能識別AKI定義知基本分期 | 2, Level 2 - 能使用診斷流程基本嚴重度評估 | 3, Level 3 - 能獨立診斷AKI適當選擇治療策略 | 4, Level 4 - 能處理複雜情況整合多因子決策 | 5, Level 5 - 成為AKI專家指導複雜個案 | 0, 未評估",核心能力: AKI定義KDIGO分期/腎前腎性腎後性AKI區分/RIFLE AKIN KDIGO/容積狀態液體復甦/腎毒性藥物調整,,,,,,y,,,,,
epa_nephro_6,nephro_epa,,dropdown,EPA 6: 慢性腎臟疾病診斷與管理,"1, Level 1 - 能識別CKD症狀知基本診斷標準 | 2, Level 2 - 能使用標準治療指引基本管理 | 3, Level 3 - 能獨立管理穩定CKD調整治療計畫 | 4, Level 4 - 能處理進展性CKD評估進階治療 | 5, Level 5 - 成為CKD專家發展個人化策略 | 0, 未評估",核心能力: KDIGO分期eGFR計算/蛋白尿評估血尿/血壓控制貧血管理/鈣磷平衡骨病變/腎保護藥物營養諮詢,,,,,,y,,,,,
epa_nephro_7,nephro_epa,,dropdown,EPA 7: 體液及電解質不平衡處置,"1, Level 1 - 能識別明顯體液電解質異常 | 2, Level 2 - 能執行基本矯正治療監測反應 | 3, Level 3 - 能獨立處理大部分異常制定矯正計畫 | 4, Level 4 - 能處理複雜混合性異常整合多因素 | 5, Level 5 - 成為體液電解質專家發展個人化策略 | 0, 未評估",核心能力: 低高鈉血症處理/低高鉀血症緊急處置/低高鈣血症/代謝性酸中毒/容積狀態評估液體治療,,,,,,y,,,,,
epa_nephro_8,nephro_epa,,dropdown,EPA 8: 腎臟替代療法認識與評估,"1, Level 1 - 能了解RRT基本概念識別透析適應症 | 2, Level 2 - 能評估RRT需求提供基本諮詢 | 3, Level 3 - 能獨立評估RRT適應症協助模式選擇 | 4, Level 4 - 能處理複雜RRT評估整合多考量因素 | 5, Level 5 - 成為RRT專家提供個人化治療建議 | 0, 未評估",核心能力: 血液透析腹膜透析腎臟移植認識/RRT啟動時機緊急透析/動靜脈瘻管導管腹膜透析導管/治療選項說明/透析相關併發症,,,,,,y,,,,,
epa_nephro_9,nephro_epa,,dropdown,EPA 9: 腎臟切片檢查適應症及風險評估,"1, Level 1 - 能了解腎切片基本適應症識別常見禁忌症 | 2, Level 2 - 能評估基本適應症初步風險評估 | 3, Level 3 - 能獨立評估腎切片適應症完整風險評估 | 4, Level 4 - 能處理複雜評估整合多風險因素 | 5, Level 5 - 成為腎切片評估專家處理高風險個案 | 0, 未評估",核心能力: 診斷性治療性切片決策/絕對相對禁忌症判斷/出血感染風險/檢查必要性風險說明同意書/併發症監測病理報告解讀,,,,,,y,,,,,
epa_nephro_10,nephro_epa,,dropdown,EPA 10: 末期腎病患者跨科部整合照護協調,"1, Level 1 - 能識別ESRD基本照護需求 | 2, Level 2 - 能執行基本照護協調提供標準衛教 | 3, Level 3 - 能獨立協調複雜照護整合多團隊 | 4, Level 4 - 能領導跨科照護處理複雜情況 | 5, Level 5 - 成為整合照護專家建立標準流程 | 0, 未評估",核心能力: 透析團隊協調/營養師藥師衛教/併發症管理/安寧緩和評估/移植評估轉介/家屬支持社會資源,,,,,,y,,,,,
nephro_section_comments,nephro_epa,整體評語,descriptive,請針對此次評核提供整體質性回饋: 優點與具體表現/需改進之處與學習建議/是否建議進入下階段訓練。提示: 您可使用手機語音輸入功能,,,,,,,,,,,,,
nephro_overall_comments,nephro_epa,,notes,整體質性評語,,建議使用語音輸入功能,,,,,,,,,,,
nephro_strengths,nephro_epa,,notes,優點與具體表現,,,,,,,,,,,,,
nephro_areas_improvement,nephro_epa,,notes,需改進之處與學習建議,,,,,,,,,,,,,
nephro_recommendation,nephro_epa,,dropdown,是否建議進入下階段訓練,"1, 是-可進入下階段 | 2, 尚可-需持續觀察 | 3, 保留-需加強訓練",,,,,,,y,,,,,
uuid_4,nephro_epa,,text,UUID,,,,,,,,,,,,, @MC-TASK-UUID @HIDDEN-SURVEY
startdate_4,nephro_epa,,text,Start Date,,,,,,,,,,,,, @MC-TASK-STARTDATE @HIDDEN-SURVEY
enddate_4,nephro_epa,,text,End Date,,,,,,,,,,,,, @MC-TASK-ENDDATE @HIDDEN-SURVEY
scheduledate_4,nephro_epa,,text,Schedule Date,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE @HIDDEN-SURVEY
status_4,nephro_epa,,dropdown,Status,"0, Deleted | 1, Completed | 2, Incomplete",,,,,,,,,,,, @MC-TASK-STATUS @HIDDEN-SURVEY
supplementaldata_4,nephro_epa,,notes,Supplemental Data (JSON),,,,,,,,,,,,, @MC-TASK-SUPPLEMENTALDATA @HIDDEN-SURVEY
serializedresult_4,nephro_epa,,file,Serialized Result,,,,,,,,,,,,, @MC-TASK-SERIALIZEDRESULT @HIDDEN-SURVEY
endocrine_eval_date,endocrine_epa,基本資料,text,評核日期,,請輸入格式 YYYY-MM-DD,date_ymd,,,,,,,,,,
endocrine_assessor_name,endocrine_epa,,text,評核教師姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
endocrine_assessor_email,endocrine_epa,,text,評核教師電子信箱,,用於發送 EPA survey 邀請,email,,,y,,,,,,,@CHARLIMIT=100 @HIDDEN-SURVEY
endocrine_assessor_title,endocrine_epa,,dropdown,評核教師職稱,"1, 主治醫師 | 2, 總醫師 | 3, 其他",,,,,,,,,,,,@HIDDEN-SURVEY
endocrine_evaluated_id,endocrine_epa,被評核學員,text,被評核學員學號/員工編號,,請填入受評學員的學號或員工編號,,,,,,,,,,,@CHARLIMIT=20 @HIDDEN-SURVEY
endocrine_evaluated_name,endocrine_epa,,text,被評核學員姓名,,,,,,,,y,,,,,@CHARLIMIT=50 @READONLY
endocrine_evaluated_type,endocrine_epa,,dropdown,被評核學員類別,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
endocrine_trainee_type,endocrine_epa,,dropdown,受評者類型,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
endocrine_trainee_name,endocrine_epa,,text,受評者姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
endocrine_dept,endocrine_epa,,text,評核科別,,預設：新陳代謝內分泌科,,,,,,,,,,,@DEFAULT='新陳代謝內分泌科' @READONLY @HIDDEN-SURVEY
endocrine_section_epa,endocrine_epa,EPA評估項目,descriptive,評分標準說明: Level 1 新手 - 僅能觀察他人執行需督導引導; Level 2 進階初學者 - 可在直接監督下執行; Level 3 勝任 - 可獨立執行但需回報; Level 4 精通 - 可獨立執行監督者隨時可得; Level 5 專家 - 可獨立執行並指導他人,,,,,,,,,,,,,
epa_endocrine_1,endocrine_epa,,dropdown,EPA 1: 糖尿病診斷與藥物治療,"1, Level 1 - 能識別糖尿病症狀知基本診斷標準 | 2, Level 2 - 能執行標準治療指引開始基本藥物 | 3, Level 3 - 能獨立診斷管理調整藥物組合 | 4, Level 4 - 能處理複雜糖尿病評估進階治療 | 5, Level 5 - 成為糖尿病專家發展個人化策略 | 0, 未評估",核心能力: HbA1c空腹血糖OGTT/第一型第二型鑑別/口服藥物胰島素/低血糖高血糖處理/血糖監測目標設定,,,,,,y,,,,,
epa_endocrine_2,endocrine_epa,,dropdown,EPA 2: 糖尿病併發症評估與管理,"1, Level 1 - 能識別基本併發症知篩檢項目 | 2, Level 2 - 能執行標準篩檢基本管理 | 3, Level 3 - 能獨立評估併發症制定管理計畫 | 4, Level 4 - 能處理複雜併發症整合多科治療 | 5, Level 5 - 成為併發症專家發展預防策略 | 0, 未評估",核心能力: 視網膜病變腎病變神經病變/足部檢查潰瘍預防/心血管風險評估/血壓血脂控制/多科團隊協調,,,,,,y,,,,,
epa_endocrine_3,endocrine_epa,,dropdown,EPA 3: 糖尿病急症診斷與處理,"1, Level 1 - 能識別糖尿病急症知基本處理原則 | 2, Level 2 - 能執行標準處置監測反應 | 3, Level 3 - 能獨立診斷處理急症適當液體電解質治療 | 4, Level 4 - 能處理複雜急症併發症整合加護治療 | 5, Level 5 - 成為急症專家建立處理流程 | 0, 未評估",核心能力: DKA診斷處理/HHS識別治療/嚴重低血糖處理/液體電解質胰島素治療/併發症監測預防,,,,,,y,,,,,
epa_endocrine_4,endocrine_epa,,dropdown,EPA 4: 甲狀腺疾病診斷與治療,"1, Level 1 - 能識別甲狀腺症狀知基本檢查 | 2, Level 2 - 能判讀甲狀腺功能執行基本治療 | 3, Level 3 - 能獨立診斷管理調整藥物劑量 | 4, Level 4 - 能處理複雜甲狀腺疾病評估手術放射碘 | 5, Level 5 - 成為甲狀腺專家處理罕見疾病 | 0, 未評估",核心能力: TSH T4 T3判讀/甲亢甲低診斷治療/甲狀腺結節評估/抗甲狀腺藥物/甲狀腺風暴處理,,,,,,y,,,,,
epa_endocrine_5,endocrine_epa,,dropdown,EPA 5: 腎上腺疾病診斷與處置,"1, Level 1 - 能識別腎上腺症狀知基本檢查 | 2, Level 2 - 能執行標準診斷流程基本治療 | 3, Level 3 - 能獨立診斷腎上腺疾病制定治療計畫 | 4, Level 4 - 能處理複雜腎上腺疾病評估手術適應症 | 5, Level 5 - 成為腎上腺專家處理罕見疾病 | 0, 未評估",核心能力: 庫欣症候群診斷/原發性醛固酮增多症/嗜鉻細胞瘤/腎上腺功能不全/皮質醇壓抑試驗,,,,,,y,,,,,
epa_endocrine_6,endocrine_epa,,dropdown,EPA 6: 腦下垂體疾病診斷與處置,"1, Level 1 - 能識別腦下垂體症狀知基本檢查 | 2, Level 2 - 能執行標準診斷流程基本激素評估 | 3, Level 3 - 能獨立診斷腦下垂體疾病制定治療 | 4, Level 4 - 能處理複雜腦下垂體疾病評估手術 | 5, Level 5 - 成為腦下垂體專家處理罕見疾病 | 0, 未評估",核心能力: 泌乳激素瘤/生長激素過多/尿崩症/腦下垂體功能不全/激素刺激試驗/MRI判讀,,,,,,y,,,,,
epa_endocrine_7,endocrine_epa,,dropdown,EPA 7: 內分泌急症識別與處理,"1, Level 1 - 能識別常見內分泌急症知基本處理 | 2, Level 2 - 能執行標準緊急處置監測反應 | 3, Level 3 - 能獨立診斷處理內分泌急症 | 4, Level 4 - 能處理複雜急症多重器官衰竭 | 5, Level 5 - 成為內分泌急症專家建立處理流程 | 0, 未評估",核心能力: 甲狀腺風暴/腎上腺危象/高血鈣危象/低血糖昏迷/DKA HHS/緊急激素補充,,,,,,y,,,,,
epa_endocrine_8,endocrine_epa,,dropdown,EPA 8: 肥胖與代謝症候群整合照護,"1, Level 1 - 能識別肥胖代謝症候群知基本評估 | 2, Level 2 - 能執行標準評估提供基本建議 | 3, Level 3 - 能獨立管理肥胖制定個別化計畫 | 4, Level 4 - 能處理複雜肥胖評估減重手術 | 5, Level 5 - 成為肥胖專家建立整合照護模式 | 0, 未評估",核心能力: BMI體脂肪評估/代謝症候群診斷/生活型態介入/減重藥物/多科團隊協調/減重手術評估,,,,,,y,,,,,
epa_endocrine_9,endocrine_epa,,dropdown,EPA 9: 血脂異常評估與治療,"1, Level 1 - 能識別血脂異常知基本檢查 | 2, Level 2 - 能執行標準評估開始降血脂藥物 | 3, Level 3 - 能獨立管理血脂異常調整治療目標 | 4, Level 4 - 能處理難治性血脂異常評估進階治療 | 5, Level 5 - 成為血脂專家發展個人化策略 | 0, 未評估",核心能力: TC LDL HDL TG判讀/心血管風險評估/史他汀纖維酸衍生物/飲食運動建議/家族性高膽固醇血症,,,,,,y,,,,,
epa_endocrine_10,endocrine_epa,,dropdown,EPA 10: 高低血鈣異常診斷與處理,"1, Level 1 - 能識別血鈣異常症狀知基本檢查 | 2, Level 2 - 能執行標準診斷流程基本治療 | 3, Level 3 - 能獨立診斷血鈣異常制定治療計畫 | 4, Level 4 - 能處理複雜血鈣異常評估副甲狀腺手術 | 5, Level 5 - 成為血鈣專家處理罕見疾病 | 0, 未評估",核心能力: 副甲狀腺功能/維生素D評估/高血鈣危象處理/低血鈣急性治療/鈣磷代謝/骨質疏鬆評估,,,,,,y,,,,,
endocrine_section_comments,endocrine_epa,整體評語,descriptive,請針對此次評核提供整體質性回饋: 優點與具體表現/需改進之處與學習建議/是否建議進入下階段訓練。提示: 您可使用手機語音輸入功能,,,,,,,,,,,,,
endocrine_overall_comments,endocrine_epa,,notes,整體質性評語,,建議使用語音輸入功能,,,,,,,,,,,
endocrine_strengths,endocrine_epa,,notes,優點與具體表現,,,,,,,,,,,,,
endocrine_areas_improvement,endocrine_epa,,notes,需改進之處與學習建議,,,,,,,,,,,,,
endocrine_recommendation,endocrine_epa,,dropdown,是否建議進入下階段訓練,"1, 是-可進入下階段 | 2, 尚可-需持續觀察 | 3, 保留-需加強訓練",,,,,,,y,,,,,
uuid_5,endocrine_epa,,text,UUID,,,,,,,,,,,,, @MC-TASK-UUID @HIDDEN-SURVEY
startdate_5,endocrine_epa,,text,Start Date,,,,,,,,,,,,, @MC-TASK-STARTDATE @HIDDEN-SURVEY
enddate_5,endocrine_epa,,text,End Date,,,,,,,,,,,,, @MC-TASK-ENDDATE @HIDDEN-SURVEY
scheduledate_5,endocrine_epa,,text,Schedule Date,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE @HIDDEN-SURVEY
status_5,endocrine_epa,,dropdown,Status,"0, Deleted | 1, Completed | 2, Incomplete",,,,,,,,,,,, @MC-TASK-STATUS @HIDDEN-SURVEY
supplementaldata_5,endocrine_epa,,notes,Supplemental Data (JSON),,,,,,,,,,,,, @MC-TASK-SUPPLEMENTALDATA @HIDDEN-SURVEY
serializedresult_5,endocrine_epa,,file,Serialized Result,,,,,,,,,,,,, @MC-TASK-SERIALIZEDRESULT @HIDDEN-SURVEY
hema_eval_date,hema_epa,基本資料,text,評核日期,,請輸入格式 YYYY-MM-DD,date_ymd,,,,,,,,,,
hema_assessor_name,hema_epa,,text,評核教師姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
hema_assessor_email,hema_epa,,text,評核教師電子信箱,,用於發送 EPA survey 邀請,email,,,y,,,,,,,@CHARLIMIT=100 @HIDDEN-SURVEY
hema_assessor_title,hema_epa,,dropdown,評核教師職稱,"1, 主治醫師 | 2, 總醫師 | 3, 其他",,,,,,,,,,,,@HIDDEN-SURVEY
hema_evaluated_id,hema_epa,被評核學員,text,被評核學員學號/員工編號,,請填入受評學員的學號或員工編號,,,,,,,,,,,@CHARLIMIT=20 @HIDDEN-SURVEY
hema_evaluated_name,hema_epa,,text,被評核學員姓名,,,,,,,,y,,,,,@CHARLIMIT=50 @READONLY
hema_evaluated_type,hema_epa,,dropdown,被評核學員類別,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
hema_trainee_type,hema_epa,,dropdown,受評者類型,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
hema_trainee_name,hema_epa,,text,受評者姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
hema_dept,hema_epa,,text,評核科別,,預設：血液科,,,,,,,,,,,@DEFAULT='血液科' @READONLY @HIDDEN-SURVEY
hema_section_epa,hema_epa,EPA評估項目,descriptive,評分標準說明: Level 1 新手 - 僅能觀察他人執行需督導引導; Level 2 進階初學者 - 可在直接監督下執行; Level 3 勝任 - 可獨立執行但需回報; Level 4 精通 - 可獨立執行監督者隨時可得; Level 5 專家 - 可獨立執行並指導他人,,,,,,,,,,,,,
epa_hema_1,hema_epa,,dropdown,EPA 1: 血液疾病病史詢問與理學檢查,"1, Level 1 - 能詢問基本血液症狀需督導引導 | 2, Level 2 - 能系統性完成血液病史詢問執行基本理學檢查 | 3, Level 3 - 能獨立完成複雜病史詢問整合症狀初步診斷 | 4, Level 4 - 能在困難情況獲取準確病史識別罕見症狀 | 5, Level 5 - 能指導他人進行病史詢問建立系統性評估流程 | 0, 未評估",核心能力: 瘀青紫斑牙齦出血鼻出血月經過多/疲倦暈眩心悸呼吸困難/反覆感染發燒/血友病地中海貧血血栓家族史/蒼白黃疸淋巴結肝脾腫大瘀斑,,,,,,y,,,,,
epa_hema_2,hema_epa,,dropdown,EPA 2: 周邊血液抹片與骨髓抹片判讀,"1, Level 1 - 能識別基本正常血球型態 | 2, Level 2 - 能識別常見異常血球基本分類 | 3, Level 3 - 能獨立判讀大部分抹片整合臨床診斷 | 4, Level 4 - 能判讀複雜抹片識別罕見血球異常 | 5, Level 5 - 成為抹片判讀專家教導複雜判讀技巧 | 0, 未評估",核心能力: 紅血球大小形狀內含物/白血球五分類異常白血球/血小板數量大小型態/骨髓ME ratio成熟度異常細胞/鐵染色PAS MPO,,,,,,y,,,,,
epa_hema_3,hema_epa,,dropdown,EPA 3: 貧血診斷與處理,"1, Level 1 - 能識別貧血症狀知基本檢查 | 2, Level 2 - 能執行標準診斷流程基本貧血分類 | 3, Level 3 - 能獨立診斷常見貧血制定治療計畫 | 4, Level 4 - 能處理複雜貧血評估進階治療 | 5, Level 5 - 成為貧血專家發展個人化策略 | 0, 未評估",核心能力: MCV分類缺鐵貧血B12葉酸缺乏/溶血性貧血地中海貧血/再生不良性貧血/鐵劑B12葉酸補充/輸血適應症,,,,,,y,,,,,
epa_hema_4,hema_epa,,dropdown,EPA 4: 出血性疾病與凝血異常管理,"1, Level 1 - 能識別出血症狀知基本凝血檢查 | 2, Level 2 - 能執行標準診斷流程基本治療 | 3, Level 3 - 能獨立診斷出血疾病制定治療 | 4, Level 4 - 能處理複雜凝血異常評估進階治療 | 5, Level 5 - 成為凝血專家處理罕見疾病 | 0, 未評估",核心能力: 血小板低下ITP TTP HUS/凝血因子缺乏血友病/VWD/PT APTT纖維蛋白原/血小板輸注凝血因子補充,,,,,,y,,,,,
epa_hema_5,hema_epa,,dropdown,EPA 5: 血栓性疾病診斷與處理,"1, Level 1 - 能識別血栓症狀知基本檢查 | 2, Level 2 - 能執行標準診斷流程開始抗凝治療 | 3, Level 3 - 能獨立診斷血栓疾病制定治療計畫 | 4, Level 4 - 能處理複雜血栓評估長期抗凝 | 5, Level 5 - 成為血栓專家發展個人化策略 | 0, 未評估",核心能力: DVT PE診斷/抗磷脂症候群/遺傳性血栓傾向/抗凝血治療監測/華法林DOAC使用,,,,,,y,,,,,
epa_hema_6,hema_epa,,dropdown,EPA 6: 骨髓穿刺與切片檢查,"1, Level 1 - 能協助骨髓穿刺了解基本解剖 | 2, Level 2 - 能監督下執行診斷性骨髓穿刺 | 3, Level 3 - 能獨立執行骨髓穿刺取得適當檢體 | 4, Level 4 - 能執行複雜骨髓穿刺處理併發症 | 5, Level 5 - 成為骨髓穿刺專家教導複雜技術 | 0, 未評估",核心能力: 適應症評估/髂骨胸骨穿刺技術/無菌操作/骨髓抽吸切片/併發症預防處理,,,,,,y,,,,,
epa_hema_7,hema_epa,,dropdown,EPA 7: 急性白血病診斷與治療,"1, Level 1 - 能識別白血病可能性了解基本分類 | 2, Level 2 - 能執行初步評估協助化療管理 | 3, Level 3 - 能獨立診斷白血病執行化療計畫 | 4, Level 4 - 能處理複雜併發症調整治療策略 | 5, Level 5 - 成為白血病專家發展個人化治療 | 0, 未評估",核心能力: AML ALL分類/細胞遺傳學分子標記/化療方案選擇/支持性照護/造血幹細胞移植評估/反應評估MRD,,,,,,y,,,,,
epa_hema_8,hema_epa,,dropdown,EPA 8: 淋巴瘤與骨髓瘤診斷管理,"1, Level 1 - 能識別淋巴瘤可能性了解基本分型 | 2, Level 2 - 能執行初步分期協助化療管理 | 3, Level 3 - 能獨立診斷與治療淋巴瘤骨髓瘤 | 4, Level 4 - 能處理複雜病例評估移植適應症 | 5, Level 5 - 成為淋巴瘤專家參與臨床試驗 | 0, 未評估",核心能力: HL NHL病理分型免疫組化/Ann Arbor分期PET-CT IPI score/RCHOP ABVD方案/CRAB準則ISS分期/誘導鞏固維持治療,,,,,,y,,,,,
epa_hema_9,hema_epa,,dropdown,EPA 9: 輸血醫學與成分輸血,"1, Level 1 - 能了解輸血基本原則執行輸血醫囑 | 2, Level 2 - 能評估輸血適應症選擇血品 | 3, Level 3 - 能獨立執行輸血監測反應處理併發症 | 4, Level 4 - 能處理複雜輸血評估特殊輸血 | 5, Level 5 - 成為輸血專家建立輸血策略 | 0, 未評估",核心能力: 紅血球血小板血漿輸注指標/ABO Rh血型交叉試驗/PRBC PC FFP Cryo/大量輸血緊急輸血/急性溶血TRALI TACO,,,,,,y,,,,,
epa_hema_10,hema_epa,,dropdown,EPA 10: 血液疾病患者跨科部整合照護協調,"1, Level 1 - 能識別基本照護需求提供標準衛教 | 2, Level 2 - 能執行基本照護協調與團隊溝通 | 3, Level 3 - 能獨立協調複雜照護整合多團隊 | 4, Level 4 - 能領導跨科照護處理複雜情況 | 5, Level 5 - 成為整合照護專家建立標準流程 | 0, 未評估",核心能力: 化療團隊協調/感染科會診/營養師藥師衛教/支持性照護安寧緩和/家屬溝通社會資源/臨床試驗轉介,,,,,,y,,,,,
hema_section_comments,hema_epa,整體評語,descriptive,請針對此次評核提供整體質性回饋: 優點與具體表現/需改進之處與學習建議/是否建議進入下階段訓練。提示: 您可使用手機語音輸入功能,,,,,,,,,,,,,
hema_overall_comments,hema_epa,,notes,整體質性評語,,建議使用語音輸入功能,,,,,,,,,,, @MAXCHOICE=10000
hema_strengths,hema_epa,,notes,優點與具體表現,,,,,,,,,,,,, @MAXCHOICE=3000
hema_areas_improvement,hema_epa,,notes,需改進之處與學習建議,,,,,,,,,,,,, @MAXCHOICE=3000
hema_recommendation,hema_epa,,dropdown,是否建議進入下階段訓練,"1, 是-可進入下階段 | 2, 尚可-需持續觀察 | 3, 保留-需加強訓練",,,,,,,y,,,,,
uuid_6,hema_epa,,text,UUID,,,,,,,,,,,,, @MC-TASK-UUID @HIDDEN-SURVEY
startdate_6,hema_epa,,text,Start Date,,,,,,,,,,,,, @MC-TASK-STARTDATE @HIDDEN-SURVEY
enddate_6,hema_epa,,text,End Date,,,,,,,,,,,,, @MC-TASK-ENDDATE @HIDDEN-SURVEY
scheduledate_6,hema_epa,,text,Schedule Date,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE @HIDDEN-SURVEY
